PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Brandon Aubrey,2571750,K,DAL,@NYG,2,,,1,,,,,,,1,0.00
Mike Badgley,2560965,K,FA,Bye,,,,,,,,,,,2,0.00
Tyler Bass,2563596,K,BUF,NYJ,,,,,,,,,,,3,0.00
Jake Bates,2571759,K,DET,@CHI,1,,,1,2,1,,,,,4,0.00
Andy Borregales,2574365,K,NE,MIA,5,,,,,,1,,,1,5,0.00
Chris Boswell,2550545,K,PIT,BAL,2,1,,1,,,1,,,,6,0.00
Harrison Butker,2558245,K,KC,@LV,,,,,1,3,,,,,7,0.00
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,8,0.00
Daniel Carlson,2560993,K,LV,KC,,,,1,1,,2,,,,9,0.00
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,10,0.00
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,11,0.00
Cameron Dicker,2568435,K,LAC,@DEN,,,,,1,,,,,,12,0.00
Jake Elliott,2558172,K,PHI,WAS,2,,,,1,,,,,,13,0.00
Ka'imi Fairbairn,2556521,K,HOU,IND,2,,,1,,4,1,,,,14,0.00
Ryan Fitzgerald,2573979,K,CAR,@TB,2,,,,,,,,,,15,0.00
Nick Folk,2507225,K,NYJ,@BUF,,,,,,,,,,,16,0.00
Graham Gano,71309,K,NYG,DAL,,,,,,,,,,,17,0.00
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,18,0.00
Zane Gonzalez,2558178,K,ATL,NO,1,,,,2,1,1,,,,19,0.00
Blake Grupe,2571234,K,IND,@HOU,3,,,1,1,,1,,,,20,0.00
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,21,0.00
Lucas Havrisik,2569534,K,GB,@MIN,,,,,,,,,,,22,0.00
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,23,0.00
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,24,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,25,0.00
Joshua Karty,2572201,K,ARI,@LAR,,,,,,,,,,,26,0.00
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,27,0.00
Younghoe Koo,2559205,K,FA,Bye,,,,,,,,,,,28,0.00
Lenny Krieg,2573911,K,ATL,NO,,,,,,,,,,,29,0.00
Cam Little,2572147,K,JAX,TEN,5,,,,,,2,,,,30,0.00
Tyler Loop,2573940,K,BAL,@PIT,3,,,,,1,,,,,31,0.00
Wil Lutz,2556601,K,DEN,LAC,1,,,3,,1,,,,,32,0.00
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,33,0.00
Chase McLaughlin,2563203,K,TB,CAR,1,,,1,1,1,,,,1,34,0.00
Brandon McManus,2541556,K,GB,@MIN,,,,1,,,,,,,35,0.00
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,36,0.00
Evan McPherson,2565953,K,CIN,CLE,,2,,,,,,,,,37,0.00
Harrison Mevis,2572932,K,LAR,ARI,4,,,,1,2,,,,,38,0.00
Jake Moody,2570308,K,WAS,@PHI,3,,,,,,1,,1,,39,0.00
Jason Myers,2553112,K,SEA,@SF,1,,,,1,1,,,1,,40,0.00
Riley Patterson,2567013,K,MIA,@NE,1,,,,,,1,,,,41,0.00
Eddy Pineiro,2560842,K,SF,SEA,,,,,,1,,,,,42,0.00
Matt Prater,2506677,K,BUF,NYJ,3,,,,,,,,,,43,0.00
Will Reichard,2572273,K,MIN,GB,1,,,1,1,1,,,,,44,0.00
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,45,0.00
Chad Ryland,2570125,K,ARI,@LAR,2,,,,,1,1,,,,46,0.00
Jason Sanders,2561153,K,MIA,@NE,,,,,,,,,,,47,0.00
Cairo Santos,2550636,K,CHI,DET,,,,,,,,,,,48,0.00
Ben Sauls,2574499,K,NYG,DAL,2,,,1,2,1,,,,,49,0.00
Spencer Shrader,2573175,K,IND,@HOU,,,,,,,,,,,50,0.00
Joey Slye,2563132,K,TEN,@JAX,1,,,,,,,,,,51,0.00
Charlie Smyth,2572330,K,NO,@ATL,2,,,1,,,,,,,52,0.00
Andre Szmyt,2570470,K,CLE,@CIN,2,,,1,,1,,,,,53,0.00
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,54,0.00
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,55,0.00
Matthew Wright,2562968,K,BUF,NYJ,,,,,,,,,,,56,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,57,0.00
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,58,0.00
